Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3259001838549607053982583201,0.325900184,0.277823931,0.325900184,0.277823931,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,1075463
0.02,0,0.3469014503738798158943373982,0.34690145,0.298825197,0.34690145,0.298825197,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,2150926
0.03,0,0.3467221611857710010709585339,0.346722161,0.298645908,0.346722161,0.298645908,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,3226389
0.04,0,0.3434499851009135383175898946,0.343449985,0.295373732,0.343449985,0.295373732,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,4301852
0.05,0,0.3397212206355843322489575849,0.339721221,0.291644968,0.339721221,0.291644968,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,5377315
0.06,0,0.3361247100263681487833671977,0.33612471,0.288048457,0.33612471,0.288048457,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,6452778
0.07,0,0.3327981751345248235941244542,0.332798175,0.284721922,0.332798175,0.284721922,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,7528240
0.08,0,0.3297564132884203459560737344,0.329756413,0.28168016,0.329756413,0.28168016,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,8603703
0.09,0,0.3269789718833083980394560599,0.326978972,0.278902719,0.326978972,0.278902719,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,9679167
0.1,0,0.3250373815803238384977969997,0.325037382,0.276961128,0.325037382,0.276961128,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,10754630
0.11,0,0.3249882772346456002029166317,0.324988277,0.276912024,0.324988277,0.276912024,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,11830090
0.12,0,0.3249392561439251437275133005,0.324939256,0.276863003,0.324939256,0.276863003,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,12905560
0.13,0,0.3248903180913448538455450141,0.324890318,0.276814065,0.324890318,0.276814065,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,13981020
0.14,0,0.3248414628605406597533811168,0.324841463,0.27676521,0.324841463,0.27676521,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,15056480
0.15,0,0.3247926902356065889965823781,0.32479269,0.276716437,0.32479269,0.276716437,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,16131940
0.16,0,0.3247440000011012393722744446,0.324744,0.276667747,0.324744,0.276667747,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,17207410
0.17,0,0.3246953919420467789291478404,0.324695392,0.276619139,0.324695392,0.276619139,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,18282870
0.18,0,0.3246468658439353088820347374,0.324646866,0.276570613,0.324646866,0.276570613,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,19358330
0.19,0,0.3245984214927321175386890445,0.324598421,0.276522168,0.324598421,0.276522168,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,20433800
0.2,0,0.3245500586748776892875830891,0.324550059,0.276473806,0.324550059,0.276473806,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,21509260
0.21,0,0.3245017771772923765002810691,0.324501777,0.276425524,0.324501777,0.276425524,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,22584720
0.22,0,0.3244535767873774995314390533,0.324453577,0.276377324,0.324453577,0.276377324,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,23660180
0.23,0,0.3244054572930195096333817513,0.324405457,0.276329204,0.324405457,0.276329204,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,24735650
0.24,0,0.3243574184825946338950859219,0.324357418,0.276281165,0.324357418,0.276281165,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,25811110
0.25,0,0.3243094601449672662543836908,0.32430946,0.276233207,0.32430946,0.276233207,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,26886570
0.26,0,0.3243074169094967394003360032,0.324307417,0.276231164,0.324307417,0.276231164,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,27962040
0.27,0,0.3243054491660363247732326238,0.324305449,0.276229196,0.324305449,0.276229196,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,29037500
0.28,0,0.3243035635449405134547622702,0.324303564,0.27622731,0.324303564,0.27622731,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,30112960
0.29,0,0.3243017598370629892046225685,0.32430176,0.276225507,0.32430176,0.276225507,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,31188420
0.3,0,0.3243000309937594733995034607,0.324300031,0.276223778,0.324300031,0.276223778,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,32263890
0.31,0,0.3242983836468911609842739310,0.324298384,0.276222131,0.324298384,0.276222131,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,33339350
0.32,0,0.3242968175888282654109654132,0.324296818,0.276220564,0.324296818,0.276220564,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,34414810
0.33,0,0.3242953257724488006631784279,0.324295326,0.276219073,0.324295326,0.276219073,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,35490280
0.34,0,0.3242939171111432441706593527,0.324293917,0.276217664,0.324293917,0.276217664,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,36565740
0.35,0,0.3242925822788122098459103780,0.324292582,0.276216329,0.324292582,0.276216329,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,37641200
0.36,0,0.3242913279098760559377496851,0.324291328,0.276215075,0.324291328,0.276215075,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,38716670
0.37,0,0.3242901537992676131289379939,0.324290154,0.276213901,0.324290154,0.276213901,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,39792130
0.38,0,0.3242890551824410744141453783,0.324289055,0.276212802,0.324289055,0.276212802,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,40867590
0.39,0,0.3242880318553689771243579030,0.324288032,0.276211779,0.324288032,0.276211779,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,41943050
0.4,0,0.3242870881745454298902676681,0.324287088,0.276210835,0.324287088,0.276210835,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,43018520
0.41,0,0.3242862216569874396056628536,0.324286222,0.276209969,0.324286222,0.276209969,0,0,0,0,5.877203656,122.27346401462546258140343797,122.27346401462546258140343797,44093980
